group,Source,Record.Type,ID,species,spp,Latitude,Longitude,Collector,Date collected,Sex,Data.Resource.Name
ALA,Atlas of Living Australia,Museum Record,R17777,fuscus,Aipysurus fuscus,-11.983,123.333,,1992-05-12,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.41516,foliosquama,Aipysurus foliosquama,-12,123.383,Alpha Helix Expedition,,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R17786,fuscus,Aipysurus fuscus,-11.983,123.333,,1992-05-12,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R17789,fuscus,Aipysurus fuscus,-11.983,123.333,,1992-05-12,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R21260,fuscus,Aipysurus fuscus,-11.983,123.333,,1992-05-13,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R21261,fuscus,Aipysurus fuscus,-11.983,123.333,,1992-05-13,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R.40482,fuscus,Aipysurus fuscus,-12.2,123.083,Alpha Helix Expedition,1973-12-31,,Australian Museum provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R17779,foliosquama,Aipysurus foliosquama,-12,123.3,,,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R17782,foliosquama,Aipysurus foliosquama,-12,123.3,,,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R17783,foliosquama,Aipysurus foliosquama,-12,123.3,,,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R17778,apraefrontalis,Aipysurus apraefrontalis,-12,123.3,,,,Northern Territory Museum and Art Gallery provider for OZCAM
ALA,Atlas of Living Australia,Museum Record,R21271,foliosquama,Aipysurus foliosquama,-12,123.3,,,,Northern Territory Museum and Art Gallery provider for OZCAM
